ip,seq,latency_ms,recv,lost
10.45.0.2,142,0.69,143,0
10.45.0.3,130,0.64,131,0
10.45.0.5,137,0.84,138,0
10.45.0.2,143,0.62,144,0
10.45.0.6,135,3.53,136,0
10.45.0.5,138,0.43,139,0
10.45.0.5,139,0.54,140,0
10.45.0.2,144,0.53,145,0
10.45.0.3,131,0.50,132,0
10.45.0.4,132,0.72,133,0
10.45.0.5,140,0.94,141,0
10.45.0.4,133,0.88,134,0
10.45.0.3,132,0.63,133,0
10.45.0.5,141,0.52,142,0
10.45.0.3,133,0.49,134,0
10.45.0.5,142,0.63,143,0
10.45.0.3,134,0.52,135,0
10.45.0.5,143,0.68,144,0
10.45.0.3,135,0.60,136,0
10.45.0.4,134,0.97,135,0
10.45.0.5,144,0.65,145,0
10.45.0.4,135,0.86,136,0
10.45.0.6,136,0.90,137,0
10.45.0.2,145,0.94,146,0
10.45.0.3,136,1.04,137,0
10.45.0.3,137,0.67,138,0
10.45.0.3,138,0.85,139,0
10.45.0.3,139,0.94,140,0
10.45.0.6,137,0.69,138,0
10.45.0.2,146,0.57,147,0
10.45.0.5,145,0.89,146,0
10.45.0.4,136,0.53,137,0
10.45.0.3,140,0.78,141,0
10.45.0.5,146,0.93,147,0
10.45.0.4,137,1.26,138,0
10.45.0.3,141,1.08,142,0
10.45.0.4,138,1.92,139,0
10.45.0.6,138,0.76,139,0
10.45.0.4,139,1.04,140,0
10.45.0.4,140,0.90,141,0
10.45.0.5,147,0.78,148,0
10.45.0.2,147,0.90,148,0
10.45.0.3,142,1.13,143,0
10.45.0.5,148,1.25,149,0
10.45.0.3,143,1.00,144,0
10.45.0.5,149,0.74,150,0
10.45.0.3,144,1.50,145,0
10.45.0.6,139,1.39,140,0
10.45.0.6,140,0.93,141,0
10.45.0.4,141,1.09,142,0
10.45.0.2,148,0.95,149,0
10.45.0.5,150,0.63,151,0
10.45.0.2,149,0.94,150,0
10.45.0.2,150,0.83,151,0
10.45.0.4,142,0.71,143,0
10.45.0.6,141,0.58,142,0
10.45.0.6,142,1.09,143,0
10.45.0.3,145,0.77,146,0
10.45.0.3,146,0.78,147,0
10.45.0.3,147,0.80,148,0
10.45.0.6,143,0.81,144,0
10.45.0.5,151,1.02,152,0
10.45.0.5,152,0.83,153,0
10.45.0.2,151,0.45,152,0
10.45.0.4,143,0.47,144,0
10.45.0.5,153,2.16,154,0
10.45.0.4,144,2.92,145,0
10.45.0.3,148,3.26,149,0
10.45.0.2,152,2.99,153,0
10.45.0.2,153,1.20,154,0
10.45.0.2,154,1.02,155,0
10.45.0.6,144,1.00,145,0
10.45.0.6,145,0.98,146,0
10.45.0.6,146,10.05,147,0
10.45.0.5,154,2.32,155,0
10.45.0.4,145,7.52,146,0
10.45.0.3,149,7.38,150,0
10.45.0.3,150,1.55,151,0
10.45.0.5,155,0.53,156,0
10.45.0.5,156,0.32,157,0
10.45.0.4,146,0.33,147,0
10.45.0.2,155,0.37,156,0
10.45.0.6,147,4.06,148,0
10.45.0.2,156,0.95,157,0
10.45.0.6,148,0.28,149,0
10.45.0.5,157,0.41,158,0
10.45.0.4,147,0.32,148,0
10.45.0.6,149,0.79,150,0
10.45.0.4,148,0.85,149,0
10.45.0.4,149,1.38,150,0
10.45.0.2,157,1.22,158,0
10.45.0.2,158,0.76,159,0
10.45.0.3,151,0.42,152,0
10.45.0.3,152,0.71,153,0
10.45.0.4,150,0.88,151,0
10.45.0.3,153,0.67,154,0
